%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
65.0, 32308.194912456864, 21292.919968714712, -187500.02235174447, -187500.02235174447, 187500.0, -45084.78731927721, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502752980102E9, 0.0, 2025-05-17 10:25:52.980
252.0, -58044.44051318652, -49185.55011577012, -59472.649928647275, 106086.96712100114, -58011.87402151514, -57594.611656023466, -57750.515073599236, -57365.707441056664, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529801276E9, 0.0, 2025-05-17 10:25:52.980
142.0, -58107.07010115029, -49171.021481874166, -59480.31657699544, 106039.13438786678, -58582.1787812923, -57599.17141189235, -57740.166215916426, -57345.27794662451, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529801424E9, 0.0, 2025-05-17 10:25:52.980
186.0, -58221.980419395026, -49034.98876511917, -59691.71937605374, 106019.55425972394, -58106.488955794455, -57628.429845384344, -57763.81436155014, -57377.28564468452, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529801545E9, 0.0, 2025-05-17 10:25:52.980
187.0, -58365.38921182027, -49160.69497593582, -59135.49621528343, 106033.41234128622, -58017.90899251807, -57595.505725801675, -57715.35577957104, -57368.70257481368, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529801667E9, 0.0, 2025-05-17 10:25:52.980
188.0, -58077.34228102473, -49111.96817302325, -59527.43405430723, 106025.6786377047, -58033.33169619223, -57595.72924324623, -57743.720143284816, -57360.36537413185, -0.024, 0.96, 0.132, 192.0, 255.0, 64.0, 30.0, 0.0, 4.0, 32.0, 0.0, 0.0, 0.0, 1.7475027529801784E9, 0.0, 2025-05-17 10:25:52.980
189.0, -57950.18320681849, -48983.75856682761, -60046.70978149293, 106011.12765206429, -58090.820382931284, -57646.11007524849, -57797.900771844485, -57379.699633085685, -0.024, 0.96, 0.132, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529801908E9, 0.0, 2025-05-17 10:25:52.980
190.0, -58164.648194867164, -49001.17057575829, -59799.43243258387, 106016.96145736713, -58068.870969876174, -57632.83313904204, -57778.41005067946, -57380.50429588608, -0.024, 0.96, 0.132, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529802077E9, 0.0, 2025-05-17 10:25:52.980
227.0, -57978.27934959881, -48936.752848238095, -59959.76149556178, 106005.60677118383, -58682.0016720297, -57590.409528065866, -57758.49464636978, -57358.2866618975, -0.024, 0.96, 0.132, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529802194E9, 0.0, 2025-05-17 10:25:52.980
229.0, -57732.52191931271, -48895.379769251325, -60258.60431892924, 105821.85308001675, -57854.29422310522, -57715.08755863757, -57868.3087668787, -57460.36707882489, -0.024, 0.96, 0.132, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529802306E9, 0.0, 2025-05-17 10:25:52.980
126.0, 35193.46984547017, 21504.456878239736, -187500.02235174447, -187500.02235174447, 187500.0, -45691.16779460524, -187500.02235174447, -187500.02235174447, -0.024, 0.96, 0.132, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529802418E9, 0.0, 2025-05-17 10:25:52.980
127.0, 36204.77452335054, 21454.500729382125, -187500.02235174447, -187500.02235174447, 187500.0, -45669.24073329458, -187500.02235174447, -187500.02235174447, 0.07200000000000001, 0.906, -0.26, 192.0, 2.0, 64.0, 28.0, 80.0, 247.0, 224.0, 0.0, 0.0, 0.0, 1.747502752980253E9, 0.0, 2025-05-17 10:25:52.980
43.0, -59073.58188314222, -50172.37963347192, -59533.98311543264, 127028.33885292278, -55279.68618627622, -55023.35638086276, -54986.140726344674, -54648.070591458156, 0.07200000000000001, 0.906, -0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502752980265E9, 0.0, 2025-05-17 10:25:52.980
83.0, -58548.9193855428, -49971.54920954099, -60320.89863072618, 128343.18022050623, -54820.44724469748, -54647.26592865776, -54812.55707890476, -54407.87874554143, 0.07200000000000001, 0.906, -0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529802763E9, 0.0, 2025-05-17 10:25:52.980
145.0, 36568.884440527494, 21615.723862138257, -187500.02235174447, -187500.02235174447, 187500.0, -45827.401677060334, -187500.02235174447, -187500.02235174447, 0.07200000000000001, 0.906, -0.26, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529802876E9, 0.0, 2025-05-17 10:25:52.980
168.0, 31316.023327830237, 20842.532317940273, -187500.02235174447, -187500.02235174447, 187500.0, -45204.503262579834, -187500.02235174447, -187500.02235174447, 0.076, 0.894, -0.26, 192.0, 2.0, 96.0, 27.0, 240.0, 247.0, 224.0, 0.0, 0.0, 0.0, 1.7475027529802988E9, 0.0, 2025-05-17 10:25:52.980
178.0, 36407.34838334899, 21615.880324349444, -187500.02235174447, -187500.02235174447, 187500.0, -45940.5462074931, -187500.02235174447, -187500.02235174447, 0.078, 0.896, -0.258, 192.0, 2.0, 112.0, 28.0, 0.0, 247.0, 240.0, 0.0, 0.0, 0.0, 1.74750275298031E9, 0.0, 2025-05-17 10:25:52.980
179.0, 34801.308489001814, 21145.33140007632, -187500.02235174447, -187500.02235174447, 187500.0, -45576.860973460796, -187500.02235174447, -187500.02235174447, 0.078, 0.896, -0.258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529803212E9, 0.0, 2025-05-17 10:25:52.980
197.0, 31062.688656173785, 20749.951392406394, -187500.02235174447, -187500.02235174447, 187500.0, -45232.30883268223, -187500.02235174447, -187500.02235174447, 0.078, 0.896, -0.258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529803324E9, 0.0, 2025-05-17 10:25:52.980
205.0, 31283.412132669942, 20748.744398205807, -187500.02235174447, -187500.02235174447, 187500.0, -45203.16215791251, -187500.02235174447, -187500.02235174447, 0.078, 0.896, -0.258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529803436E9, 0.0, 2025-05-17 10:25:52.980
206.0, 31793.52364462896, 21012.629093245163, -187500.02235174447, -187500.02235174447, 187500.0, -45364.809973813295, -187500.02235174447, -187500.02235174447, 0.078, 0.896, -0.258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7475027529803548E9, 0.0, 2025-05-17 10:25:52.980
207.0, 35657.134432451065, 21601.083469520032, -187500.02235174447, -187500.02235174447, 187500.0, -45880.107090485944, -187500.02235174447, -187500.02235174447, 0.078, 0.896, -0.258, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747502752980369E9, 0.0, 2025-05-17 10:25:52.980
