Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,21292.919968714712,-6.193938961729373e-08,-1.4289280869661525e-10,-1.872635380095744e-11,-1.688249540165998e-11,1.8189894035458565e-12
0.0,-49185.55011577012,-5.501939595965058,-8.114943606310277,-15.477509788232467,-627.4794598279426,-14335.726860474679
0.0,-49171.021481874166,-37.52454919145402,-54.69680986441385,-101.54155489089709,-3382.50572364702,-9064.713824953902
0.0,-49034.98876511917,-129.69852002980437,-185.83736415458367,-331.4463242967344,-8227.520388821351,29128.3093948006
0.0,-49160.69497593582,-314.57639231652115,-440.2999525458699,-742.3198305376101,-11846.784965591893,16535.12085166827
0.0,-49111.96817302325,-617.6666134255393,-838.866585715634,-1312.0326041956,-10254.194576573833,-9209.2859391606
0.0,-48983.75856682761,-1058.0113100803671,-1384.593423200589,-1965.5906784680594,-2341.403688674447,-4621.304504981601
0.0,-49001.17057575829,-1648.7269536760548,-2063.9304433929774,-2589.423179999112,9194.748574936584,-10950.974352679372
0.0,-48936.752848238095,-2397.565862282701,-2848.671548914057,-3051.2252262159377,19465.506869812678,-3918.8604679616856
0.0,-48895.379769251325,-3307.4826520838487,-3698.5639276342918,-3222.2893717631864,24101.494945992657,2662.80117189645
0.0,21504.456878239736,-4371.679307711344,-4556.261309636557,-2983.653466519052,21993.603775965945,15266.254557967895
0.0,21454.500729382125,-5564.136269823448,-5336.58494269901,-2220.073359818122,16046.943403895411,13198.832116146703
0.0,-50172.37963347192,-6848.614230368615,-5944.734262885446,-869.4853794214384,9084.297604163381,-43356.90047517267
0.0,-49971.54920954099,-8202.964283352052,-6317.059683867801,993.3104047216538,61.210528548564184,-26013.538200469397
0.0,21615.723862138257,-9616.999757364785,-6420.062220260813,3173.8834837583877,-11799.283232687478,52844.39647504338
0.0,20842.53231794028,-11068.343038047082,-6215.336022629534,5454.1442709615,-22114.744189488836,29091.563225097736
0.0,21615.880324349444,-12519.204309493562,-5656.67246970965,7624.47796111737,-25195.80591472076,-27681.089362156083
0.0,21145.33140007632,-13930.590785641027,-4713.51958698135,9462.676682096602,-20121.641861027703,-17489.34051634892
0.0,20749.9513924064,-15268.746933062746,-3381.6770525670468,10740.301914490521,-10851.934702440432,-4492.952298249306
0.0,20748.744398205807,-16505.051031958053,-1682.800502170665,11251.737950944405,-2594.4442501704066,117.84218532731666
0.0,21012.629093245163,-17615.71545552774,337.5750281790395,10842.863236041174,1434.6077604405214,9979.010022654493
0.0,21601.083469520032,-18581.326772971905,2613.2723839549294,9435.512557228521,1267.022817369409,4844.1981367793915
0.0,20745.36928479305,-19386.537026428057,5061.301489809727,7043.684913168488,-690.1624921358991,1514.4905388889965
0.0,20935.85085104118,-20019.96984523168,7585.9809181804,3779.2755941376904,-1616.4129917796827,-704.2021826458604
0.0,21511.564732976527,-20473.966605422156,10083.707154113594,-152.3631590911328,44.028728529021436,-2927.1638575798606
0.0,21435.09941519492,-20744.11192963175,12448.232301761247,-4466.576260440383,3986.4756783913754,-665.8651947229337
0.0,21725.76150009173,-20828.912286549083,14575.655938241865,-8823.023133294831,8521.573854229928,-1140.12525976087
0.0,20963.075275787745,-20729.64858510277,16368.899891702618,-12856.369195402052,11645.14492236498,240.86955609268034
0.0,21160.91056596167,-20450.225426892044,17741.76400284483,-16210.326891238814,12068.09027282963,760.3150055043216
0.0,-50027.87560556836,-20002.429002801673,18614.436207951956,-18586.774203507604,9090.720645151414,-14013.439631487416
0.0,-48538.64592774462,-19415.529431259074,18902.550405136157,-19799.571530075616,2208.5236579865914,-8243.41340780495
0.0,-48631.6291846787,-18732.85125509097,18526.227654067134,-19776.055478270486,-7076.942018593516,29177.17801307512
0.0,21552.602535796468,-17992.30491249406,17442.557948361264,-18502.451336221126,-13600.979180259485,30196.232906096164
0.0,-48533.99676489792,-17215.868171187285,15662.324677188175,-15997.876222952702,-11968.684256709732,-14956.375298679151
0.0,-48572.37471012768,-16422.875869563235,13228.604891820212,-12361.076477472656,-2737.048367437298,-42684.27781130827
0.0,-48545.77613422587,-15641.098590843547,10197.82398180404,-7802.067228980159,7639.1246171473695,1599.4317727204161
0.0,21225.283589992952,-14893.991572680206,6656.13368762473,-2591.901546781659,13737.020293569725,36101.338062916555
0.0,-49175.17890634286,-14190.09066614136,2730.9676908696347,2983.01606922105,14665.847420144246,-6939.651821227364
0.0,-48982.75273832712,-13536.218698263769,-1434.7221300075985,8595.383857481535,10962.43544440723,-30610.392378441727
0.0,-49148.58033044104,-12948.482827490512,-5704.8488553336,13865.826928905815,3106.007439287155,9753.203458102502
0.0,21384.025679114544,-12439.416754390211,-9936.20560379026,18430.652552297644,-5861.422653878758,33533.566467192824
0.0,20716.133203045512,-12001.844070948073,-13960.261373732694,22015.21927265552,-10480.017725691101,5759.087070984723
0.0,-48870.8375538394,-11617.641159532135,-17603.493044529878,24422.311954014873,-8460.970311141307,-40761.469516135905
0.0,-48933.48949354762,-11281.634198128017,-20729.8234248067,25473.2629761074,-4190.041281127995,-29889.831456797634
0.0,-49122.09351326151,-11004.979451910753,-23249.788553895483,25017.67292582232,-3645.065275193703,32347.00365585871
0.0,-49087.962399478245,-10801.389047555287,-25101.870922644775,22996.401178524233,-7822.517340189516,22645.208580560073
0.0,-49064.04603291107,-10680.960966261306,-26244.36874882646,19473.323979922036,-12770.100242060878,31.300751281811245
0.0,-49280.90265761646,-10650.482847450161,-26656.379972491817,14635.492557865051,-13655.7536752645,1848.8375457479924
0.0,-49109.62123985544,-10713.766939319628,-26338.140483996547,8781.19071333423,-8287.561298876279,-12784.74715568217
0.0,20773.91246246248,-10866.48915550404,-25302.571487078636,2312.653149206719,2352.8326734654847,9370.595978022197
0.0,20670.42388563441,-11086.543785127846,-23560.20844419539,-4271.136989279298,15609.843926048037,8032.961642267546
0.0,21478.64061339385,-11337.178194802791,-21123.940150320646,-10432.310668733027,27206.285067825975,-29216.26131889353
0.0,20705.739641873795,-11580.804890792084,-18029.643492929365,-15686.414234789303,31599.491708603196,-11795.457059679104
0.0,21190.19135119812,-11785.300753959003,-14344.30749276919,-19662.60454767638,25283.058112970026,9266.283189661102
0.0,20871.231957820888,-11923.774447373919,-10162.948378056386,-22129.326218154787,9627.873038352089,5731.068828627422
0.0,21501.48409622718,-11974.185821689463,-5604.171806221497,-23003.691701262152,-9624.529554008117,10782.279510923014
0.0,20961.04126704232,-11918.983758549082,-804.874706281338,-22345.646678619127,-25338.111281732112,2388.5853304046723
