Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-110.1493966757532,-0.008598871676597517,-0.012682683679222945,-0.024189491672721653,-0.9806751458086613,-22.40502188394258
0.051,-110.23880365357444,-0.05865512239176913,-0.08549746318365883,-0.1587218938348341,-5.287448963883618,-14.189865160694486
0.051,-110.1493966757532,-0.20277254399091926,-0.2905427101640984,-0.5181994431579876,-12.865105439517437,45.484571276490314
0.051,-110.32821063139566,-0.49191573945329187,-0.6885252668744212,-1.160857824985956,-18.53395081706658,25.876439592386877
0.051,-110.23880365357444,-0.9660557095850291,-1.3120581507903337,-2.052281950942115,-16.058352835461424,-14.310852985894805
0.051,-110.1493966757532,-1.6550469047233742,-2.1660142817926658,-3.0752908545497966,-3.6946767984330937,-7.236315641305591
0.051,-110.23880365357444,-2.5794872578785637,-3.229294487429842,-4.052306343223951,14.347232601991765,-17.175023777473903
0.051,-110.23880365357444,-3.75161386623294,-4.457898423616118,-4.776424716665484,30.4207066829091,-6.133852973045283
0.051,-110.41761760921688,-5.1762003773414085,-5.789015953304755,-5.046361187998448,37.68434731400328,4.128432507950809
0.051,-110.50702458703812,-6.851419860864773,-7.145828051720189,-4.700274064764511,33.41340963300275,1.4726620470092975
0.067,-110.50702458703812,-8.769656615973819,-8.44272534279005,-3.6439745307064095,19.806476860916952,6.594622288980496
0.111,-110.23880365357444,-10.918232280900371,-9.590627768167701,-1.8699101536868588,2.34733759723977,0.5681929806362334
0.111,-110.32821063139566,-13.280094825997681,-10.502227625339348,0.5351544989887135,-13.01911991023416,-0.5237190364391111
0.111,-110.41761760921688,-15.834560070007338,-11.097056639129228,3.3942866356022696,-22.340234537114586,-0.9042853571816565
0.111,-110.32821063139566,-18.55804671648588,-11.306075516045464,6.455917801994966,-24.6931436346913,-2.1945729593927865
0.111,-110.1493966757532,-21.424692050334116,-11.075439629108395,9.41914918517623,-21.67694345944419,0.40424160097560247
0.111,-110.32821063139566,-24.40691565893322,-10.369411141099203,11.965600541667607,-16.008056949988802,-0.2112857800369241
