Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,-16269.298347151083,-1.2700714936029007,-1.8732591448250977,-3.572838969312895,-144.84778864257817,-3309.269015583724
0.48,-15962.274785312986,-8.638486501361037,-12.591284320753198,-23.373234371637565,-778.1163265175232,-2030.7365740757893
0.481,-15721.233573106954,-29.76164317706363,-42.63900778969403,-76.02773394775569,-1882.8052786124986,6805.710514716799
0.481,-15929.015389563488,-71.96045498754592,-100.69619299962409,-169.66651188508018,-2690.791774557092,3682.2114569650203
0.481,-16282.351765912985,-140.96458565063386,-191.37472589590072,-299.0226436736051,-2303.357779182875,-2380.8960183769823
0.481,-16065.718658652147,-241.14219527285675,-315.42732639576343,-447.1987665272268,-497.7011707110489,-1011.6702008991174
0.481,-15770.228596952988,-375.54047057104464,-469.8727919637261,-588.6283923575254,2102.215165297691,-2203.0983994057847
0.481,-15924.634447650247,-545.9034543507356,-648.2707137677336,-693.2275054864058,4408.211933832308,-854.067282435688
0.481,-16320.796766376112,-752.8734965533729,-841.426669979461,-731.6997083058526,5448.0576367720005,332.971869838148
0.481,-16224.952486151757,-996.2337306595622,-1038.266757230572,-680.7973406440684,4820.973428068826,157.62128842129596
0.481,-15882.434354118628,-1274.9653542621793,-1226.4975342051803,-527.1830528828648,2839.223326259376,1220.1903330623313
0.481,-15966.029878381478,-1587.2314844315604,-1393.1902265136596,-269.78024203440424,310.46337289517805,141.54773070449892
0.481,-16370.507046044711,-1930.5282105649296,-1525.6205217522597,78.946949527523,-1896.9911046008624,-337.2178060556166
0.481,-16388.656662542424,-2301.9213321904667,-1612.1988318751187,493.1991496144712,-3229.8547253871006,-223.26112606785728
0.481,-15998.663425286226,-2698.115070036661,-1643.07197899311,936.2473193101172,-3571.772713616173,-60.81647091889636
0.481,-15986.59348328036,-3115.400983937562,-1610.4516093831053,1364.5552857969317,-3141.5544748512184,200.4762375184414
0.482,-16353.340906303038,-3549.7492282024746,-1509.0531330485055,1732.336765038431,-2313.127526486304,-258.6995117612446
0.482,-16471.5369309827,-3997.0277965517876,-1336.6041427189136,1996.1005824063454,-1443.5908395691365,-115.07069683885948
0.482,-16060.533053938516,-4453.084645229096,-1094.0072908120355,2119.4800629473175,-739.9435962791772,285.8451438229349
