Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,21292.919968714712,1.489277561605995e-06,-1.6261887392232666e-09,-2.6421087540029475e-11,-1.7607248992135283e-11,2.7284841053187847e-12
0.0,-49185.55011577012,-3.2291429241127902,-4.771891858273891,-9.135739236120589,-387.04383569132085,-9327.22244029431
0.0,-49171.021481874166,-22.121737682903156,-32.407731748135504,-60.83257468305099,-2219.4405622788913,-16872.550346177624
0.0,-49034.98876511917,-76.89363931833911,-111.24751933422837,-202.88402440926887,-5962.183854181006,9753.231424200221
0.0,-49160.69497593582,-187.74848443032622,-267.07894246151744,-468.0551272994155,-10139.332896189213,32000.85727240782
0.0,-49111.96817302325,-371.380937099108,-517.0711746342029,-860.2123242028176,-12130.575915155323,9844.05750449633
0.0,-48983.75856682761,-641.2100681106151,-869.6862522024433,-1355.0892638530402,-9946.076337977562,-8283.537775243603
0.0,-49001.17057575829,-1007.5927067056588,-1324.8885102126744,-1904.0677964819395,-3337.2757135381025,-6614.028211167486
0.0,-48936.752848238095,-1478.0512215805522,-1874.6755819723414,-2440.513425969866,6070.908172709346,-9800.200289103175
0.0,-48895.379769251325,-2057.5078376547963,-2503.882965783709,-2887.8922820317425,15488.839111505938,-8317.558071689757
0.0,21504.456878239736,-2745.283164766706,-3186.4288025090104,-3159.638260066089,22462.78007270955,9072.292065878079
0.0,21454.500729382125,-3529.35265961816,-3877.966084725709,-3153.037084212665,26171.410550423927,19233.90375423553
0.0,-50172.37963347192,-4391.267040478399,-4525.10757782931,-2776.5991096473645,26315.755100529594,-16338.889269086267
0.0,-49971.54920954099,-5320.203853177221,-5088.252040522221,-2001.391832038968,21442.011955315593,-45424.997234638744
0.0,21615.723862138257,-6311.930789582962,-5541.06813060405,-860.0147880017713,10892.611663531812,11307.475578199905
0.0,20842.53231794028,-7354.819227482307,-5850.333814722378,597.2960392724821,-2507.7444317195414,57496.104960181576
0.0,21615.880324349444,-8427.723864507945,-5974.013432809964,2311.0571775843996,-14102.57836729647,5808.775470958362
0.0,21145.33140007632,-9508.026982760799,-5874.75316631252,4191.59845290883,-20827.129045423302,-32136.84302707796
0.0,20749.9513924064,-10575.367187690163,-5526.556404271952,6114.612872697805,-22297.153769139288,-9548.91612531608
0.0,20748.744398205807,-11611.645698576302,-4915.415536951906,7931.514886954167,-20034.223996923658,-1889.4130739246793
0.0,21012.629093245163,-12600.923903226918,-4039.361233317551,9482.679638396701,-16239.611936289068,-3734.145955489369
0.0,21601.083469520032,-13529.229267563895,-2907.980003960074,10612.256014290084,-12695.524759854601,7596.829579078267
0.0,20745.36928479305,-14384.448700226765,-1541.70480142101,11182.692397118575,-10186.625913020524,7631.856730091766
0.0,20935.85085104118,-15156.348533311288,29.025993544073177,11087.623303766475,-8512.44043199246,1289.7059019804924
0.0,21511.564732976527,-15836.504222363556,1765.0258336362335,10262.684421523105,-6891.786976024682,1499.1194285811023
0.0,21435.09941519492,-16418.100702438263,3620.0376110896227,8693.461899565966,-4500.012421852162,-61.34630844304729
0.0,21725.76150009173,-16895.8181182885,5542.4484015033795,6419.289519241905,-927.2540487023874,-2875.6347764498437
0.0,20963.075275787745,-17265.817063055918,7476.964774734345,3532.5718372508964,3611.8470387358934,-1999.2572495246613
0.0,21160.91056596167,-17525.721651680236,9366.349258548595,174.01132300725766,8369.31517023072,-887.3122528623458
0.0,-50027.87560556836,-17677.7761900163,11148.472943822331,-3484.862476225545,11983.690700300544,-9712.27653833348
0.0,-48538.64592774462,-17734.64687043848,12749.693671923384,-7267.987390554377,12565.739867014836,-15965.341148343885
0.0,-48631.6291846787,-17717.751474234654,14089.855311524472,-10998.076186071175,9239.052174527134,11156.271269897756
0.0,21552.602535796468,-17646.126239118512,15101.423605443695,-14473.054301930855,3946.5148636779245,41775.26293008623
0.0,-48533.99676489792,-17530.20551143414,15740.49945454987,-17461.760581465413,443.16055418164024,17085.044123679378
0.0,-48572.37471012768,-17379.377752716377,15976.390755044631,-19744.17426964675,793.5143265765081,-35064.73759271219
0.0,-48545.77613422587,-17208.46394803734,15782.579403830043,-21147.06653971749,3982.352303622213,-29083.49967106896
0.0,21225.283589992952,-17030.402580367783,15148.211876618723,-21535.56812337972,8148.891141144107,21178.119844055094
0.0,-49175.17890634286,-16849.97087238647,14087.333847160817,-20807.03554816397,12098.038500259207,17179.084541014112
0.0,-48982.75273832712,-16671.28431491626,12626.743909512514,-18924.361257395907,14227.7931181603,-28181.529775941406
0.0,-49148.58033044104,-16504.220513888642,10795.345599464483,-15940.21974093124,12550.664238110587,-16316.588980883082
0.0,21384.025679114544,-16357.035407787824,8634.18742725282,-11973.62515232205,6995.145501688627,32911.04722601458
0.0,20716.133203045512,-16226.831422048906,6209.126416963766,-7177.40444639467,271.65584735153584,30491.879145498497
0.0,-48870.8375538394,-16104.346404423271,3601.228483915741,-1747.3447481077123,-4826.257368681057,-21629.72701790277
0.0,-48933.48949354762,-15987.764077062548,883.5708294010694,4046.483847001409,-8288.55712408956,-46335.61931473359
0.0,-49122.09351326151,-15884.901099828865,-1883.8845895595225,9870.983484627386,-11770.975458342986,-3243.8949192970294
0.0,-49087.962399478245,-15805.397782556865,-4643.970045482808,15376.34302810919,-15836.107719978501,32524.20028530399
0.0,-49064.04603291107,-15757.139034673139,-7338.326080828117,20230.35874855079,-19382.364220441996,14747.254151439545
0.0,-49280.90265761646,-15746.36561753074,-9908.99796457317,24139.969671713956,-20645.44403284699,1418.304366875891
0.0,-49109.62123985544,-15777.804980094159,-12300.028981574476,26869.668993057167,-18311.36160310816,1421.1086784755662
0.0,20773.91246246248,-15851.579007932492,-14454.214041007635,28264.837154156336,-11854.283679698088,1891.6388516413197
0.0,20670.42388563441,-15957.384937073419,-16305.989100666291,28276.0369435147,-1366.1080218233517,7908.644571956485
