Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-518280.8063364991,-40.45986887472501,-59.67523855920819,-113.8176842303842,-4614.324913826418,-105421.3019629984
0.18,-518240.7520104352,-275.9512374074949,-402.23416665546705,-746.725525634434,-24874.684401612674,-66673.19259905713
0.18,-518201.0553122825,-953.8805972949186,-1366.7633185480697,-2437.679453793819,-60514.85790827761,213998.20977648994
0.18,-518203.1116727724,-2313.877467612375,-3238.6697474852017,-5460.327567233992,-87163.94730393476,121686.67794727726
0.18,-518167.2594746661,-4543.764079153246,-6171.084316207144,-9652.319238474254,-75488.75391926413,-67257.36696647166
0.18,-518130.1555788703,-7783.7663920164305,-10186.669754333792,-14462.146127035101,-17305.234093134506,-34373.527520567004
0.18,-518092.6940551632,-12130.690537330613,-15186.14350324304,-19054.785093352948,67549.1583196778,-80826.05282451288
0.18,-518042.7155545611,-17642.048463135452,-20962.58949949226,-22457.534465216013,143099.54552818224,-28388.01916838117
0.18,-518003.9129261867,-24340.10878233403,-27220.446677796055,-23723.81555353011,177208.04205366666,19483.265085672596
0.18,-517947.228902248,-32215.848634217968,-33597.944566625396,-22091.984296923143,157117.48845208122,7028.797920198849
0.18,-517934.98014628654,-41232.7883950292,-39691.706000579325,-17118.212563193378,93191.6212037165,30746.15230459292
0.18,-517894.3893783557,-51330.69189204962,-45082.234327705075,-8766.792195933684,11162.807368302714,1925.1105293380388
0.18,-517899.21735515806,-62429.112463659054,-49359.04700698602,2552.8453665100583,-61119.65675462618,-2462.036293110592
0.18,-517836.09602881625,-74430.76602731844,-52144.31329002788,16006.265192154011,-105107.38492858142,-3474.891736499514
0.181,-517825.724819389,-87224.71832565048,-53113.996781876056,30408.26525200837,-116376.31356648772,-10049.87262915651
0.181,-517806.05528426834,-100689.38583164818,-52015.687180180816,44341.90380852089,-102332.3831780972,1376.2100038406352
0.181,-517735.0661438783,-114695.34111438638,-48682.47944157712,56308.15014302468,-75693.42215124804,-921.8349463328777
0.181,-517729.7911321868,-129107.90928233175,-43042.453451868496,64888.90217563251,-47808.4844076493,2297.140061875849
0.181,-517727.1089228522,-143789.5664202803,-35123.549864236345,68904.9655602919,-24826.36313258968,2571.0711002373573
0.181,-517719.9563646265,-158602.13763315955,-25053.81927846435,67551.5966821695,-7540.8465119117955,-671.8210646064981
0.181,-517720.76102742687,-173408.7778385765,-13057.191144764694,60497.054334402885,6221.913073531491,761.6510126657085
0.181,-517696.53173643735,-188075.73811031407,554.8876810066481,47933.79177472989,18668.243120807107,-1226.5356793868996
0.181,-517652.9905382384,-202473.923025732,15395.44092851851,30577.103862238044,30208.288904755773,-388.78101049408724
0.181,-517604.8001771927,-216480.24485605955,31016.95156519501,9611.597863413283,39344.462923077954,80.95750682943617
0.181,-517541.142408984,-229978.78648979016,46928.62612170156,-13408.829330069939,43841.86855970882,-263.8336845450249
0.181,-517523.8868622645,-242861.7842371121,62615.154227969135,-36697.245610064834,42209.977041700855,502.06579467482516
0.181,-517455.0434893422,-255030.4362619462,77556.16775777556,-58392.50251211609,34619.99635440053,-51.84636053115537
0.181,-517393.620895579,-266395.5340424408,91245.62494437587,-76725.01851496253,22888.518062470244,97.54318856845202
0.181,-517344.8940926665,-276877.9278494196,103210.36223760994,-90173.66782951988,9712.262126381993,31.573423430978437
0.182,-517304.4821386912,-286408.8477780205,113027.1062045908,-97599.20797006943,-2339.1400621404573,-176.26560321067518
0.182,-517258.3481381355,-294930.08604311146,120337.3505618176,-98342.26069820112,-11568.87495778082,52.22354767497745
0.182,-517240.6455565269,-302394.0456955706,124859.61103634095,-92277.54714986088,-17381.77215964908,-73.74308149445278
0.182,-517244.0430216841,-308763.6720952151,126398.67392234378,-79820.45199253119,-20046.47133192843,16.66385630957666
0.182,-517260.4044986254,-314012.2784217565,124851.59032201502,-61886.51911583869,-20237.387037079763,29.628631911531556
0.182,-517197.55139321706,-318123.26300296735,120210.31934456107,-39808.74793243845,-18627.380825628425,4.528234516110388
0.182,-517191.8293466365,-321089.7259568744,112561.03682256042,-15221.265281676284,-15694.7228159603,59.0924284633511
0.182,-517173.6797301388,-322914.0163099413,102080.2121894962,10079.260853867438,-11754.423788064887,-34.754414256007294
0.182,-517140.50974136713,-323607.2234370959,89027.69440544545,34281.60240036292,-7104.507840464854,-9.78953073293087
0.182,-517130.6749738068,-323188.6102443822,73737.16983220728,55704.22955522099,-2149.4391347995916,1.0265675867558457
0.182,-517085.7926709405,-321685.00047023315,56604.411659143516,72923.58803303268,2582.1764831447845,-17.749191404669546
0.182,-517019.09506548586,-319130.12782459974,38073.807596521576,84876.12122547955,6528.935370298431,27.36677540416713
0.182,-516957.7618787005,-315563.9552422053,18623.69118575576,90926.55805034269,9238.244243533254,6.718832389073214
0.182,-516957.04662287794,-311031.98852218455,-1249.0029299227178,90898.26344386465,10480.542220270914,-21.253497960424284
0.182,-516889.007912756,-305584.59182016976,-21044.214596729664,85065.02056092469,10287.976059628414,-12.506546239732415
0.27,-516836.70483073057,-299276.29189703806,-40273.809174277296,74107.05103154731,8914.494380663531,12.947094291463145
0.27,-516811.5814699628,-292165.0828147392,-58475.72533065109,59036.93411327327,6743.60590050417,3.2943933995993575
0.27,-516765.3580624293,-284311.7520554436,-75226.8087441563,41103.31463603252,4184.657373083059,-12.076912744669244
0.27,-516725.6613642766,-275779.22385146626,-90153.9487777294,21681.7860728059,1596.2629003386292,10.12040610355325
0.27,-516740.50292259495,-266631.924651745,-102943.2251318347,2162.8085749309234,-748.9186305207913,-10.401866611631704
0.27,-516714.2172711155,-256935.18195061365,-113346.86326366881,-16153.895459034919,-2665.9980526545237,-12.613570223809802
0.27,-516694.6371429726,-246754.64747349825,-121187.8523439644,-32150.168525231922,-4041.8435865260653,20.461257138696965
0.271,-516663.1658867796,-236155.745419534,-126362.1804677193,-44959.04935714886,-4819.308682444681,10.34236379720096
0.271,-516643.4069446811,-225203.16022852203,-128838.74550893412,-54009.11296530597,-4992.3796297204,0.5749137138482183
0.271,-516609.7899210203,-213960.36740655484,-128657.0599236932,-59041.86363097137,-4608.742562972971,-1.1510420821723528
0.271,-516573.1330601136,-202489.2044531081,-125922.9264593223,-60102.939386226724,-3769.8435279084597,-4.049361408164259
0.271,-516508.58122212667,-190849.4806694157,-120802.32311289084,-57510.07281975238,-2621.2270143701353,5.739874205057276
0.271,-516430.5289304888,-179098.62645916984,-113513.78581100923,-51802.508569492566,-1332.368533972809,7.826853188962559
0.271,-516432.3170700452,-167291.39279708816,-104319.62697060872,-43677.79999350075,-71.9996217139842,-15.769949963025283
0.271,-516414.7933023922,-155479.609334143,-93516.34546734716,-33922.467557932796,1014.4714145247526,-31.79797659801261
0.271,-516343.0889061796,-143711.97915210252,-81424.54574055842,-23342.857549439883,1823.9777983282875,14.052753782947548
0.271,-516271.3845099669,-132033.89296131194,-68378.68849676994,-12701.948750659525,2307.360866099011,37.51226838408911
0.271,-516243.75775382016,-120487.28523319785,-54717.04120327738,-2666.905519612923,2466.2430737081386,-5.141762059021858
0.271,-516198.5178230426,-109110.5457766753,-40772.156490766145,6229.260806839682,2338.311559440871,-19.09862385240558
0.271,-516162.5762179585,-97938.46877507208,-26862.123558263662,13610.236553980734,1982.3837644795049,-5.0330136975389905
0.271,-516122.0748570055,-87002.2289573987,-13282.807909989539,19263.030602649673,1468.328453509518,-1.4633617830113508
0.272,-516092.7493682801,-76329.38912115712,-301.27031167351913,23129.95497348883,870.1119950755337,2.2018981126020662
0.43,-516098.6502288163,-65943.94176269822,11849.49661363534,25288.431791579766,259.7678803959234,-4.584547717531677
0.43,-516094.98454272567,-55866.3819436059,22974.43606221884,25921.960853501212,-298.29742134678054,-7.782440382477944
0.43,-516060.831077198,-46113.79812377192,32918.887472868126,25286.06325206113,-751.3965276167928,15.845312696270412
0.43,-516076.1196704054,-36699.97749467136,41569.661381702696,23673.032136845457,-1061.9935064413212,10.831474190825247
0.43,-516039.73103043216,-27635.534330748622,48854.77694339404,21378.96524241578,-1211.8523116489587,-5.356287700109533
0.43,-516007.3657044609,-18928.053666170606,54741.97480391501,18675.982031374315,-1203.6902380956753,12.57013280648971
0.43,-515965.0762039514,-10582.244939315902,59236.147900139884,15791.681483493232,-1058.9445778604377,2.807449810381513
0.43,-515919.5680522404,-2600.11197950748,62375.84173946901,12896.907069855848,-813.4363409027728,-9.250050572503824
0.43,-515923.85958717583,5018.859222673316,64229.0030636413,10101.938391694439,-511.5962522932082,-12.207926436894923
0.43,-515912.5943079704,12277.497570803547,64888.174337723336,7460.3631872253,-199.62325047534887,-21.81656262058823
0.431,-515831.5915860643,19180.74674338215,64465.35898982553,4979.209916704705,83.04409178168407,21.393477453108062
0.431,-515785.6363994642,25735.47779011274,63086.766035433866,2633.3880639041113,310.8654449678679,32.40250690752873
0.431,-515756.221503761,31950.292604523223,60887.58473937261,382.1323896113557,471.70419347699044,-16.00037607352715
0.431,-515713.21674742905,37835.31293435462,58006.950586812774,-1814.7926522822622,561.4001161029955,-15.630460749060148
0.431,-515684.4277005706,43401.973862284394,54583.28093811788,-3983.058930730422,580.7894463528737,-2.8181599170638947
0.431,-515613.706781114,48662.82840342199,50750.11563552575,-6123.458820644681,536.0477105819118,2.045020973935607
0.431,-515579.5533155863,53631.35992983363,46632.55550978533,-8206.335498124357,439.38134204602375,11.577462288725656
0.431,-515538.694326722,58321.79631698031,42344.35913942188,-10171.178345112738,307.6194907870158,-7.314344806858571
0.431,-515493.72261687793,62748.927677851025,37985.741785109894,-11931.162465003541,159.46960068216686,-4.408312953150016
0.431,-515420.67711599794,66927.93873700644,33641.90596914675,-13381.837125543692,13.699926340759703,12.548617821390508
0.431,-515416.653801996,70874.25121372666,29382.282391638713,-14412.789249046667,-113.04732448782033,-7.481704695979715
0.431,-515377.672359666,74603.36676076565,25260.42860561934,-14920.845206910471,-209.47502586873725,-16.3621508544893
0.431,-515379.90753411147,78130.71943953131,21314.54003124321,-14823.21056179876,-270.67994324730444,-0.16127889133349527
0.431,-515374.3643014866,81471.54371809713,17568.505639683233,-14069.024357365002,-296.58923587273785,-0.34638900951540563
0.431,-515354.6053593881,84640.75715707373,14033.416428566494,-12648.04803860944,-289.81836064447634,8.532764279734693
0.431,-515310.1700914109,87652.8630533212,10709.434309266828,-10595.53520623712,-253.71582749923255,23.674564538887353
0.431,-515243.114858045,90521.87139480912,7587.913022384598,-7992.774479597549,-191.9851183117171,13.394241590096499
0.431,-515207.62028785,93261.22736869508,4653.648148527345,-4963.279274305436,-110.74109529553789,-5.203386274530203
0.431,-515201.9876482472,95883.73727073315,1887.1383052642618,-1665.0296720512033,-21.29419229087398,-30.92930252768565
0.431,-515174.5397060561,98401.49769902292,-733.2282702633624,1720.5018641347156,60.53954937965227,-20.784279027822777
0.431,-515133.3230892805,100825.84524981963,-3229.1205400476297,5001.551576957573,120.43879114821812,15.960987579484936
0.431,-515082.53992587805,103167.3271878081,-5620.417516642363,7990.267403001207,151.88921967797614,18.828081691477564
0.431,-515041.3233091025,105435.68044088827,-7923.645770376558,10516.592772520637,157.22636629565477,7.605265547637828
0.432,-515055.4496115982,107639.80921676924,-10150.759691568619,12440.59323506453,143.2594430193585,-16.161563502071658
0.432,-515000.2855062825,109787.76637217816,-12308.283340664084,13662.218646894324,116.4868396795182,-13.811678488913458
0.432,-514998.3185527705,111886.75215441127,-14396.803980633511,14127.785737376656,82.16267374087784,13.089898164951592
0.432,-514971.7646803576,113943.12383391807,-16410.822985461684,13832.724131831992,44.865352977980365,-2.377485315737431
0.432,-514936.98536598514,115962.41000571268,-18338.955249718852,12820.476185286992,8.630228785725194,4.5897429265023675
0.432,-514934.1243426948,117949.33298831842,-20164.44093849016,11177.807929401863,-22.86640743206408,7.575629297847627
0.446,-514889.5996677399,119907.83523861572,-21865.93412270266,9027.062193280964,-46.799306907413666,-10.012030798417982
0.654,-514873.7746326655,121841.11186390868,-23418.515044604246,6516.135624606858,-61.502023494767855,7.8831952348700725
0.654,-514825.67367859767,123751.64969627441,-24794.869303707543,3807.1049155663,-66.40049250199809,-0.18391194989089854
0.654,-514794.3812363602,125641.26919679722,-25966.580100647083,1064.4732324091349,-62.146707787685955,-1.7284141771669965
0.654,-514784.1888408886,127511.16589219614,-26905.47771119396,-1556.0204566396449,-50.93528725487795,-4.157210983161349
0.654,-514770.1519453707,129361.94856507031,-27584.990418819798,-3917.1942762782514,-36.62019386805969,-16.174205043920665
0.654,-514726.3425262383,131193.68346944838,-27981.426212840262,-5908.123824756135,-22.970053595879108,12.579294842187664
0.654,-514693.6195723557,133005.94874919803,-28075.128132173246,-7449.2969789828185,-11.236064702579824,14.886178945584106
0.655,-514653.9228742031,134797.8884542117,-27851.47574369574,-8495.06134874465,-0.3131089922053434,-1.279465865867678
0.655,-514588.3875594601,136568.26404881125,-27301.70029114833,-9033.416531714714,11.260542986339715,4.218458689108957
0.655,-514556.02223348885,138315.50604348205,-26423.482696783158,-9083.405023427178,23.68085316563338,-3.9973969443381066
0.655,-514519.9912214269,140037.75924822176,-25221.32663076257,-8690.557880844619,34.77167006203217,-17.135515329500777
0.655,-514509.3517910662,141732.92136056712,-23706.698533224342,-7920.951400318646,40.360596014661496,-10.044011925769155
0.655,-514504.434407286,143398.6803406217,-21897.92690419525,-6854.474646956122,36.61984416886298,-4.033189129739185
0.655,-514440.419011166,145032.55738130028,-19819.86026033477,-5577.908292477269,23.274086657574117,16.12306334891764
0.655,-514445.425801924,146631.95584156565,-17503.301532868947,-4178.386658282792,5.056299674204638,19.49761263214168
0.655,-514400.09646416863,148194.2030344779,-14984.264091860368,-2737.758574444153,-11.13965060559076,-9.995077299434342
0.655,-514337.3327657381,149716.58985944753,-12303.072520079711,-1328.1743356212007,-19.87590286413524,9.726708237882121
0.655,-514298.0831024746,151196.41466003243,-9503.33356746369,-9.074455241479114,-18.724077128601493,6.371879513622844
0.655,-514289.1424046925,152631.01437547425,-6630.840565610854,1174.3243326304555,-9.83027018402845,-29.915858524807845
0.655,-514263.4826020578,154017.78295996977,-3732.449326541072,2191.1459281305065,0.2926193771218095,-11.037988263342413
0.655,-514189.364217444,155354.19759966567,-854.9322076114626,3023.8510336001973,5.412273538041518,17.847774050867883
0.655,-514142.3361471101,156637.85431632324,1956.1548592418767,3666.404602303445,4.422709496320749,20.499129307543626
0.655,-514113.27887931815,157866.492880327,4657.527314102416,4121.881314526612,0.553690916087362,-8.243459253862966
0.655,-514055.8795995569,159038.00865950354,7209.1152378135075,4399.840439597106,-2.7762145032538683,-12.773093560434063
0.656,-514005.18584313226,160150.46702271583,9574.893433515066,4513.829022164286,-3.840419258754082,7.110887720860774
0.656,-513990.5230987696,161202.116235238,11723.571980612589,4479.252345740439,-2.812486328240084,-10.449588780626073
0.656,-514003.5765175315,162191.3868630403,13629.114950050354,4311.751004674479,-2.20407984056601,-19.933159679945675
0.656,-513967.9925403586,163116.88885296579,15271.096279942896,4026.209993763581,-5.226011561590894,5.935265095933573
0.656,-513938.5776446555,163977.4215350346,16634.91307700505,3636.4455395401365,-11.90577111084167,26.377682369420654
0.656,-513862.5817135074,164771.99069214487,17711.849105299178,3155.4652594899103,-17.586536591847107,20.812858039033017
0.656,-513887.4368533417,165499.81524883377,18498.968746788356,2596.1004688581515,-16.66702825243101,-10.508965160493972
0.656,-513846.04142261046,166160.31757960247,18998.844628713836,1971.8129224933894,-8.106130213902361,-29.223430306083173
0.656,-513820.3816199758,166753.1158014564,19219.16339016623,1297.5425244037874,4.044762234062546,3.9649941271345597
0.656,-513790.6985033392,167278.0253321217,19172.239742484853,590.4343109579451,14.64808033481404,10.60763559168845
0.656,-513782.9200962687,167735.0544935807,18874.436832598883,-129.7573818204869,20.172912585157974,-7.9302813480608165
0.656,-513729.0076886425,168124.39603765824,18345.51849695008,-840.6880968471334,19.626620981814085,9.665196158908657
0.656,-513699.59279293934,168446.4236474307,17607.970264639513,-1517.8874937675114,14.971692382391666,9.322432117245626
0.656,-513642.1041062003,168701.68807900156,16686.303592848344,-2135.675377200956,9.820426354782285,-2.0238005383580457
0.656,-513572.9031053666,168890.91122529618,15606.36228317381,-2668.467220751529,7.250336298089678,4.375034129770938
0.656,-513563.7835936289,169014.97592390308,14394.647837689203,-3092.3583075513516,7.942287898131326,-12.063713422452565
0.656,-513534.3686979257,169074.90457625614,13077.671619415702,-3386.8519890345588,9.008711758367099,-25.250882156964508
0.656,-513510.49703484745,169071.83758593083,11681.36652251738,-3536.5231084401494,5.96450023253783,3.9628727118397364
0.657,-513456.5846272212,169007.02311704602,10230.587969619659,-3532.411777792186,-2.8911423603431103,18.41704452400154
0.657,-513436.199836278,168881.8100498459,8748.70033979453,-3373.0272699295424,-14.640955451806803,8.216540790483123
0.657,-513400.70526608295,168697.63525406586,7257.240483706178,-3064.878149347546,-24.147374373128514,-2.268014391302131
0.657,-513402.7616265728,168456.00615438892,5775.662040626471,-2622.456572300529,-27.79524336879149,-11.361013729168917
0.657,-513423.05701053824,168158.479990177,4321.162114132603,-2067.6521462661135,-25.752443085026243,-15.291083929958404
0.657,-513383.0026844744,167806.6471078616,2908.5979281185055,-1428.605052408112,-20.89417481651344,5.378115479441476
0.657,-513320.149579066,167402.1316316872,1550.5067548055863,-738.0438451044357,-14.653708362033285,37.57208062427526
0.657,-513305.0397998142,166946.5963673536,257.19929734348625,-31.27972683029307,-5.548786818337248,6.6738156203209655
0.657,-513268.0253109962,166441.73175519466,-963.1149994640633,655.9263226866569,7.2003732942548595,-24.96707803082245
0.657,-513249.4286596095,165889.23903896788,-2104.16633753788,1289.4949318146698,20.960349782832964,-8.540981484446093
0.657,-513212.8612056805,165290.8193275808,-3161.420510298879,1839.0370584702287,31.07716002797588,-5.138414632776403
0.657,-513136.5076466212,164648.1697790982,-4131.842714186274,2279.598829615953,34.30113984354102,13.405958271963755
0.657,-513102.4435880713,163962.9836595859,-5013.646395865995,2593.011681475027,30.981060478177824,14.439631653367542
0.657,-513112.099541676,163236.93816952014,-5806.062619774722,2768.7160305085918,23.07841924448894,-27.96258874492196
0.657,-513049.3358432455,162471.67480805994,-6509.131817035172,2804.0375532869725,11.631803179770031,-8.50461295079731
0.872,-513002.12895895593,161668.79620414585,-7123.4896929952465,2703.9937709784535,-1.6816711261244564,27.66178163960285
0.872,-512992.11537744,160829.86803234354,-7650.171860046264,2480.6336166768842,-13.572501077450397,-4.3773991612833925
