Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.48,-26320.699014747028,-2.054739472903325,-3.0305849137125014,-5.780188987431716,-234.33678370527878,-5353.781820176644
0.48,-26330.802003240828,-14.015028996902801,-20.428710827845563,-37.92484496217213,-1263.3597036391213,-3388.4421834739287
0.481,-26332.41132884161,-48.44921857919738,-69.42040657983857,-123.81493246675727,-3073.8394736331397,10865.52095976848
0.481,-26320.07316590228,-117.53270872239295,-164.50803374216994,-277.3602936112833,-4428.069231677237,6186.888504042538
0.481,-26319.357910079707,-230.80770035225532,-313.47211175009306,-490.3167050540478,-3835.5457715402617,-3409.917772481237
0.481,-26318.82146821278,-395.3960877014765,-517.4616330406764,-734.6623546073421,-879.8299268152585,-1751.9238361852385
0.481,-26322.040119414345,-616.2143091752863,-771.4312135641601,-967.9736086060656,3431.378683446587,-4109.677009819838
0.481,-26326.95750319452,-896.1850912027996,-1064.8714100307543,-1140.8402842528305,7269.874982518327,-1443.5535454748424
0.481,-26323.291817103844,-1236.443555401426,-1382.7736150769322,-1205.1865018199953,9002.355532643203,990.7186788239178
0.481,-26322.040119414345,-1636.536416260148,-1706.7670670059385,-1122.3314153346714,7980.784582561988,363.07273837714456
0.481,-26318.55324727932,-2094.614961854014,-2016.365563010755,-869.7322690184396,4732.430136658519,1562.9124411717812
0.481,-26327.3151311058,-2607.6231158096048,-2290.262111416092,-445.5715422884018,565.2862652599781,94.9307861700845
0.481,-26328.20920088401,-3171.4791968524323,-2507.607981951587,129.3573150178871,-3105.8468053204087,-128.37299945007453
0.481,-26334.288875375853,-3781.2481324712726,-2649.214562799775,812.669969469072,-5339.32467094052,-176.9059242312096
0.481,-26332.321921863782,-4431.302777358657,-2698.6262064044513,1544.1641571335113,-5911.054800720542,-508.22054468055194
0.481,-26329.460898573507,-5115.474641445944,-2643.023237854307,2251.87094637909,-5197.381800413655,73.29826273325398
0.482,-26330.712596263005,-5827.194863395826,-2473.924642664422,2859.6597854921174,-3843.976786344072,-46.03544613347458
0.482,-26333.841840486748,-6559.626780075778,-2187.6708375661174,3295.514509265248,-2427.0788215645416,112.17322078083089
0.482,-26344.39186386965,-7305.789588270145,-1785.674419834514,3499.549685589438,-1259.2857042371531,128.20578883015605
0.482,-26349.48806160546,-8058.6712293080445,-1274.4349404470202,3430.890165159243,-381.4748148765879,-34.74294155793996
0.482,-26344.83889875876,-8811.328094884248,-665.3227702046636,3072.6795363922633,316.5995723952881,43.166164420446876
0.482,-26346.537631337364,-9556.97194785201,25.849637355498185,2434.6890655075317,947.6395630036736,-57.09700024911854
0.482,-26345.64356155915,-10289.048014832153,779.437772313137,1553.251388746403,1533.3682102604525,-23.109681740240376
0.482,-26346.44822435954,-11001.304860201186,1572.7241453942704,488.5368598960051,1998.01160276244,1.549608907655056
0.482,-26344.12364293619,-11687.854119322017,2380.793526834385,-680.530288938815,2227.5946939863943,-14.196154601768285
0.482,-26346.627038315182,-12343.220477709583,3177.4850436101865,-1863.1937071683656,2145.631864075893,24.67487013281061
0.482,-26345.91178249261,-12962.38296477406,3936.379589877457,-2964.932562269198,1760.2170886244062,-1.73185741240286
0.482,-26343.587201069266,-13540.807202931703,4631.783590784855,-3895.8818570624044,1163.506426633966,5.728648198767587
0.482,-26347.16348018211,-14074.469107950059,5239.670781701044,-4578.799755164326,492.8567214798752,2.094424920691381
0.482,-26345.0177127144,-14559.871497259472,5738.54553503297,-4955.843269558519,-120.6194100273164,-9.366289707454598
0.482,-26340.01092195641,-14994.052807351181,6110.199164053217,-4993.540573411462,-590.1566434574825,4.664990541165935
0.482,-26352.97493374049,-15374.589355115239,6340.332645231092,-4685.542541660578,-885.2323714416675,-5.494187105054152
0.482,-26362.2732594339,-15699.59446089317,6419.022571492161,-4052.961500277921,-1019.9075512574695,-5.464818740774717
0.482,-26359.14401521016,-15967.710865823536,6341.024157490448,-3142.314410189137,-1029.1793998070427,5.8533465244127
0.482,-26366.02835250239,-16178.094072748347,6105.909732040632,-2021.3116058173634,-947.3757213960364,5.3800917689668495
0.482,-26370.94573628256,-16330.392196419962,5718.035504456708,-772.9439421064651,-798.396305223136,-0.5766544820744457
0.482,-26364.50843387943,-16424.723210282325,5186.3428088193505,511.55597062097763,-597.8095666922686,0.7103547072911169
0.482,-26348.05754996032,-16461.64575686192,4524.012771748153,1740.2381381051134,-360.24440113698745,5.657044220552052
0.482,-26344.39186386965,-16442.126726119193,3747.9874758464675,2827.7671563849435,-105.87113935075408,-1.4771660152564436
0.482,-26356.908840764623,-16367.512486067268,2878.3694065784584,3701.920487978395,137.735312450378,-11.70225687609036
0.482,-26369.60463161524,-16239.503075653016,1937.7259690428423,4308.738410706192,339.86263560608114,-9.26933196203936
0.483,-26363.79317805685,-16060.121322106144,950.3390482900812,4615.975864883766,475.4390584501341,5.872979315867269
0.483,-26355.03129423038,-15831.673861216828,-58.56754186141772,4614.656162123058,533.1404270390107,13.941776076829228
0.483,-26362.809701300823,-15556.711895308063,-1063.606724845633,4318.669042482956,517.4247315958685,1.897404601460039
0.483,-26374.34320143977,-15237.998325489438,-2039.9959180543235,3762.5320964530392,444.00226055090457,-9.31036717545885
0.483,-26376.757189840937,-14878.476559189128,-2964.281300339321,2997.6205744280114,333.2193939318461,-3.2517497791504866
0.483,-26375.3266781958,-14481.235165882292,-3814.9871779584387,2087.2876699772387,205.19866828677056,4.4595432131354755
0.483,-26378.992364286467,-14049.47144930883,-4573.176184484908,1101.3398920167144,77.07218627009735,2.323796844145363
0.483,-26379.797027086857,-13586.458348358163,-5222.911943690707,110.35347586969573,-38.337264591432614,-0.7157056813739473
0.483,-26386.055515534343,-13095.514145964718,-5751.612371955916,-819.6860686029221,-132.48776606833164,-1.202891678870401
0.483,-26390.525864425406,-12579.973866957514,-6150.285155843546,-1631.9976822735682,-200.2684428597886,-2.0210615424775824
0.483,-26393.92332958261,-12043.161969547114,-6413.6423888251975,-2282.5439917513377,-239.1246380358841,0.26467885562396987
0.483,-26394.54917842736,-11488.365836232882,-6540.095452922991,-2742.2839489129437,-248.61395513227473,2.43708000893821
0.483,-26389.900015580657,-10918.810381636516,-6531.636435444837,-2998.0553439208443,-230.4901403457887,2.308701885831397
0.483,-26379.26058521993,-10337.634036637945,-6393.615822535438,-3052.1273944578797,-188.9515136122197,2.952191304594635
0.483,-26378.09829450825,-9747.867626310264,-6134.431071198049,-2920.5779017248665,-130.71967653668486,-1.5698527828672013
0.483,-26385.51907366742,-9152.418951008427,-5765.1448117013415,-2630.7408000351247,-64.75709196389465,-8.129038508835038
0.483,-26385.250852733952,-8554.061374951736,-5299.046132196206,-2218.0151646881836,-0.9452346089501305,-3.76213678874592
0.483,-26381.227538732,-7955.421455508863,-4751.1646042754655,-1722.3464749064126,52.38984899054694,5.224931296163049
0.483,-26392.93985282658,-7358.967139846129,-4137.757209830997,-1184.7103152048712,90.34056560468642,1.7992757702741073
0.483,-26391.50934118144,-6767.000145468143,-3475.7913104619697,-643.9044406144866,111.46353715536242,-1.5748691469170808
0.483,-26388.11187602423,-6181.649117211901,-2782.435361078404,-133.87907467812926,117.04868699842669,5.0612157353189104
0.483,-26392.85044584876,-5604.862863630185,-2074.572012599975,318.22653541660344,110.10864486334003,0.6379459217787371
0.483,-26390.704678381047,-5038.4073057905625,-1368.3530670049474,693.2397704280041,93.99005104810931,-4.14582503424117
0.483,-26398.03605056239,-4483.865177751987,-678.8065580744413,980.2964116451404,71.51717722399351,-0.4749370753952462
0.484,-26396.87375985072,-3942.636889880734,-19.502879550603225,1176.4383242833687,45.04825632374482,-1.6079499732923068
0.484,-26400.45003896356,-3415.942287201471,597.7136094902447,1285.5931597755007,16.97416316217982,1.5040873275838749
0.484,-26397.767829628927,-2904.8231065710365,1162.923517259492,1317.104744848071,-9.925739734783775,2.510203127053501
0.484,-26398.03605056239,-2410.146662212824,1668.2593630602996,1284.0036323812446,-32.685442021750674,0.1863539357054833
