Elapsed (s),raw,delta,theta,alpha,beta,gamma
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.366,-750000.0894069779,-58.54915887766181,-86.35556962094078,-164.70467805334923,-6677.353387606902,-152554.33913621414
0.366,-750000.0894069779,-399.3313959234545,-582.076581227699,-1080.5933796428462,-35996.476724544016,-96494.04388537892
0.366,-750000.0894069779,-1380.3884760272172,-1977.8840761466156,-3527.6429429943587,-87573.86955149562,309655.9887916283
0.366,-750000.0894069779,-3348.530967456121,-4686.8506844730055,-7901.95193069832,-126143.76298380624,176108.9828099097
0.366,-750000.0894069779,-6575.612335832999,-8930.645077908954,-13968.683442256242,-109255.95906565028,-97300.45055980909
0.366,-750000.0894069779,-11264.61828536698,-14742.137663932885,-20929.815540148862,-25062.994515972783,-49754.51802468863
0.366,-750000.0894069779,-17555.716355654953,-21977.738622356042,-27577.019403331557,97730.9348631959,-116971.25768995153
0.366,-750000.0894069779,-25532.22837378128,-30338.107261849615,-32502.694010035942,207066.0554211405,-41079.879435259354
0.366,-750000.0894069779,-35226.490911437315,-39395.623209902325,-34336.99197233814,256433.06580826058,28189.676009076065
0.366,-750000.0894069779,-46625.57163041009,-48626.84479822842,-31977.629010326717,227368.23181072157,10179.087714518479
0.367,-750000.0894069779,-59676.81227476077,-57448.098459980196,-24782.16732732075,134867.50899813185,44502.94511252636
0.367,-750000.0894069779,-74293.17204421063,-65252.34213512971,-12698.682806284072,16169.008813521486,2798.5482001396886
0.367,-750000.0894069779,-90358.34812290614,-71445.51986011546,3680.659628024652,-88424.69123757555,-3560.2940724744403
0.367,-750000.0894069779,-107731.65320557015,-75480.76573477409,23148.704362586082,-152071.86856015577,-5043.886323315703
0.367,-750000.0894069779,-126252.6329263942,-76889.01318546469,43990.658902495365,-168373.31783742202,-14562.277380913642
0.367,-750000.0894069779,-145745.4091249058,-75304.80829543676,64156.282193417,-148050.18398990412,2000.5257173694845
0.367,-750000.0894069779,-166022.73785021246,-70486.40144496327,81476.4058337276,-109508.56391887121,-1335.818413761619
0.367,-750000.0894069779,-186889.77388600758,-62329.48669210691,93898.7892407611,-69171.39601237634,3311.004198406881
0.367,-750000.0894069779,-208147.53635181344,-50874.26044020264,99716.74329278685,-35932.638251449265,3761.669267878693
0.367,-750000.0894069779,-229596.07258216708,-36305.767772695435,97765.3393087917,-10933.458594789834,-959.6072005779715
0.367,-750000.0894069779,-251037.3199885543,-18947.785182278578,87564.05965259895,8978.138654640195,1082.258564935968
0.367,-750000.0894069779,-272277.66795522784,749.2575752683294,69390.89060887965,26995.29629853072,-1784.7819602024683
0.367,-750000.0894069779,-293130.22399851325,22225.59433318972,44280.36767236898,43705.44613390625,-596.1453884521616
0.367,-750000.0894069779,-313416.79042116523,44833.777415313605,13946.117487288495,56932.299217879125,105.59989637555555
0.367,-750000.0894069779,-332969.55951247405,67863.6368276022,-19363.85039420105,63435.41522322037,-371.3543143819261
0.367,-750000.0894069779,-351632.53697703703,90569.42469835453,-53064.23739595022,61059.03991262639,749.1705907814903
0.367,-750000.0894069779,-369262.7047183718,112197.98894204883,-84462.17872804904,50059.57966055943,-48.46430363267427
0.367,-750000.0894069779,-385730.9353577573,132016.83005953723,-110997.08252019758,33075.79118640445,123.12376391363796
0.367,-750000.0894069779,-400922.6719355294,149340.94878320015,-130467.63557402961,14014.876466102938,38.31682172752335
0.367,-750000.0894069779,-414738.3871248392,163557.4853992253,-141224.8506719719,-3405.9749101241296,-238.8849015107553
0.367,-750000.0894069779,-427093.8369913897,174147.2782920483,-142313.83925358576,-16736.51444801549,72.57996346388245
0.367,-750000.0894069779,-437920.12486299354,180702.62289964597,-133552.32805788165,-25122.150317891388,-100.80989083772874
0.367,-750000.0894069779,-447163.59123719943,182940.68556765796,-115540.21495336827,-28956.89272269748,39.12339434862952
0.367,-750000.0894069779,-454785.5458619701,180712.21216080795,-89601.03185510074,-29218.71201535878,49.87418729005731
0.367,-750000.0894069779,-460761.8581825676,174005.3611377528,-57662.41011473696,-26882.253742134348,-23.594513429736253
0.367,-750000.0894069779,-465082.42226722086,162944.6777980796,-22087.95118312214,-22642.731525956075,45.356938514101785
0.367,-750000.0894069779,-467750.51211518137,147785.40377141294,14523.164155078637,-16958.869134843324,-31.36363385041477
0.368,-750000.0894069779,-468782.04292419873,128903.47748733583,49550.24272491948,-10259.962947644297,-0.2446132330223918
0.368,-750000.0894069779,-468204.75346134364,106781.72221347658,80559.78989844021,-3124.4511118663477,-0.08730720868334174
0.368,-750000.0894069779,-466057.32415272243,81992.83420735344,105491.13978528613,3691.4591214697202,-13.270803049003007
0.368,-750000.0894069779,-462388.4448952446,55179.87166919061,122804.12916296025,9381.80501688433,13.813714772317326
0.368,-750000.0894069779,-457255.845908469,27035.003765578116,131577.9857645885,13292.95111076612,-5.439487592084333
0.368,-750000.0894069779,-450725.3041977458,-1722.6925468627926,131555.40785879843,15091.413074495718,4.483291135984473
0.368,-750000.0894069779,-442869.63740222383,-30369.601267731854,123130.8966389542,14823.583012180487,1.5933886329003144
0.368,-750000.0894069779,-433767.69596332865,-58199.34408877718,107287.28666370307,12856.310869285135,-3.959428507514531
0.368,-750000.0894069779,-423503.3636811417,-84543.26200910122,85488.67081634214,9741.000354542663,2.7645197391102556
0.368,-750000.0894069779,-412164.5758373923,-108788.97530113845,59541.18816504375,6065.264917462099,-2.9377593010140117
0.368,-750000.0894069779,-399842.3631636537,-130396.49007299679,31435.200670421975,2343.668433111804,0.8882806461770087
0.368,-750000.0894069779,-386629.92903039925,-148911.42828499546,3183.1193097182913,-1032.3544883666682,0.45848861563717946
0.368,-750000.0894069779,-372621.7663348186,-163975.07592303338,-23333.42844154732,-3795.7709541795793,-0.7063272055820562
0.368,-750000.0894069779,-357912.81968008954,-175331.06643256868,-46495.132054124864,-5782.443461639247,1.1800378808984533
0.368,-750000.0894069779,-342597.69757287315,-182828.63890021722,-65045.93947318929,-6910.897111963209,-0.7322595314763021
0.368,-750000.0894069779,-326769.9385252208,-186422.52852155254,-78157.40554479559,-7174.299686893778,0.2626305121521
0.368,-750000.0894069779,-310521.3341372569,-186169.65670007755,-85454.02468121654,-6641.390511199786,-0.022700984904076904
0.368,-750000.0894069779,-293941.31146268215,-182222.88628708813,-87000.6484949553,-5455.489910626021,-0.3017742185620591
0.368,-750000.0894069779,-277116.3762244046,-174822.19120714683,-83256.24506329847,-3821.9155735090108,0.2995494580245577
0.368,-750000.0894069779,-260129.61775590104,-164283.65690326373,-75000.7890790441,-1981.2477460432392,-0.20933032140601426
0.368,-750000.0894069779,-243060.27589805095,-150986.77727192474,-63243.80152855228,-173.76244596268316,0.12736233789473772
0.368,-750000.0894069779,-225983.3694833724,-135360.54434959366,-49123.89091714922,1395.2855394960307,0.017000680090859532
0.368,-750000.0894069779,-208969.38549144726,-117868.83896664387,-33808.58182705219,2580.50507888638,-0.07066143560223281
0.368,-750000.0894069779,-192084.0274619213,-98995.62456605639,-18402.82995488031,3306.6900384587325,0.08225095082889311
0.368,-750000.0894069779,-175388.0213053417,-79230.42365085284,-3873.064114264729,3565.314496193366,-0.07565881501068361
0.368,-750000.0894069779,-158936.97625730882,-59054.518648040634,9008.43655127303,3401.68012792221,0.03074342053150758
0.368,-750000.0894069779,-142781.2983775666,-38928.26854970921,19696.301567500457,2898.266926225012,-0.001398855762090534
0.368,-750000.0894069779,-126966.1537019184,-19279.87202257841,27881.732260839715,2158.588641258716,-0.01742637431016192
0.368,-750000.0894069779,-111531.4779100341,-495.8394832422094,33480.93713128198,1293.5977480035463,0.027526834892341867
0.368,-750000.0894069779,-96512.02917476892,17086.636265206012,36605.93435362832,410.7785442442964,-0.01982604485237971
0.368,-750000.0894069779,-81937.48070670254,33185.296037472894,37522.5423381386,-394.7475140578781,0.010938336636172608
0.368,-750000.0894069779,-67832.54939912216,47576.37610231223,36601.03503307279,-1047.5505390655662,-0.0018270865257363766
0.368,-750000.0894069779,-54217.15691128248,60096.1457101879,34265.01420655239,-1497.4031329644558,-0.005756508529884741
0.368,-750000.0894069779,-41106.61949895843,70640.51528063844,30943.59215028573,-1722.2109721163315,0.007074057328281924
0.368,-750000.0894069779,-28511.86290838933,79162.86786161983,27031.077807562142,-1727.6511324569447,-0.006233312480617315
0.368,-750000.0894069779,-16439.65868990481,85670.31512797417,22857.14415464286,-1543.3870007958749,0.0036669339169748127
0.368,-750000.0894069779,-4892.878357949781,90218.61773883444,18669.07096313808,-1216.5169058145611,-0.00043227869900874794
0.368,-750000.0894069779,6129.238078040818,92906.03763611536,14626.254756752438,-803.5259887103957,-0.0012735658383462578
0.368,-750000.0894069779,16630.802565374925,93866.40657291134,10805.89576618604,-362.206732650342,0.0021020971471443772
0.368,-750000.0894069779,26618.99165239715,93261.70095191154,7217.72540443622,55.22085300492199,-0.0019286300521343946
0.368,-750000.0894069779,36103.75437329295,91274.40844527763,3824.90990623604,407.0557480624593,0.001042146555846557
0.369,-750000.0894069779,45097.51824370865,88099.95770742299,567.9008520700118,664.926369440569,-0.0002769413113128394
0.369,-750000.0894069779,53614.89604699242,83939.45991139559,-2611.9935164528315,814.651655259976,-0.0003451330412644893
0.369,-750000.0894069779,61672.39589019297,78992.98119269955,-5752.202596860327,855.5262298739135,0.0006211553700268269
0.369,-750000.0894069779,69288.1368006939,73453.5298876339,-8853.925946231866,798.4290899057005,-0.0005410132289398462
0.369,-750000.0894069779,76481.5719209635,67501.90332029792,-11874.073351198225,663.1106089026716,0.00034925108775496483
0.369,-750000.0894069779,83273.22114267483,61302.49747091022,-14724.685908642423,474.97494074886527,-9.767315350472927e-05
0.369,-750000.0894069779,89684.41480456336,55000.14076873057,-17279.521780080955,261.67397229946346,-9.32738184928894e-05
0.369,-750000.0894069779,95737.04986284659,48717.97203353137,-19386.697166069884,49.84722285375483,0.00016637530643492937
0.369,-750000.0894069779,101453.35973067573,42556.343645822744,-20885.650856650704,-137.66023388370013,-0.00016717176185920835
0.369,-750000.0894069779,106855.69877560195,36592.6955896127,-21626.301227348515,-283.8239224630015,0.00010694083175621927
0.369,-750000.0894069779,111966.34226292491,30882.315107520637,-21488.113617868083,-378.54235000191784,-3.2778712920844555e-05
0.382,-750000.0894069779,116807.30233938797,25459.87113187453,-20396.892897157428,-418.7902102311873,-1.972136669792235e-05
0.398,-750000.0894069779,121400.16046715985,20341.592958956633,-18337.435288265006,-407.9346418000223,4.8837740905582905e-05
0.415,-750000.0894069779,125765.91654339692,15527.949121435373,-15360.669388761911,-354.42678842646365,-4.904114757664502e-05
0.453,-750000.0894069779,129924.85477675035,11006.675148651844,-11584.528464123076,-270.12714965341,3.226776607334614e-05
0.453,-750000.0894069779,133896.42623964665,6755.9977195348,-7188.456601120328,-168.5186396600102,-1.2415111996233463e-05
0.453,-750000.0894069779,137699.1478745536,2747.9072343302937,-2402.091834150924,-63.0217623031067,-4.968955181539059e-06
0.453,-750000.0894069779,141350.51760412395,-1048.6594960580317,2510.7721935627615,34.429008532781154,1.3611599570140243e-05
